Perturbation	Apofrac1	Apofrac2	Apofrac3	Apofrac	Prolfrac1	Prolfrac2	Prolfrac3	Prolfrac4	Prolfrac
ER_transcription=0-ER_transcription_2=0	1.0	1.0	0.683	0.8415	0.0	0.0	0.0	0.0	0.0
ER_transcription=0-ER_transcription_2=1	1.0	1.0	0.027	0.5135	0.495	0.495	0.05	0.0	0.13625
Proliferation_3=0-ER_transcription_2=0	1.0	1.0	0.658	0.829	1.0	0.0	0.0	0.0	0.125
Proliferation_3=0-ER_transcription=0	1.0	1.0	0.676	0.838	0.0	0.0	0.0	0.0	0.0
Proliferation_3=0-ER_transcription_2=1	1.0	1.0	0.027	0.5135	1.0	1.0	0.0	0.0	0.25
Proliferation_3=0-ER_transcription=1	1.0	1.0	0.375	0.6875	1.0	1.0	0.0	0.0	0.25
Proliferation_4=0-ER_transcription_2=0	1.0	1.0	0.666	0.833	1.0	0.0	0.0	0.0	0.125
Proliferation_4=0-ER_transcription=0	1.0	1.0	0.663	0.8315	0.0	0.0	0.0	0.0	0.0
Proliferation_4=0-Proliferation_3=0	1.0	1.0	0.414	0.707	1.0	1.0	0.0	0.0	0.25
Proliferation_4=0-ER_transcription_2=1	1.0	1.0	0.038	0.519	1.0	1.0	0.064	0.0	0.266
Proliferation_4=0-ER_transcription=1	1.0	1.0	0.426	0.713	1.0	1.0	0.0	0.0	0.25
Proliferation_4=0-Proliferation_3=1	1.0	1.0	0.393	0.6965	1.0	1.0	1.0	0.0	0.5
Proliferation_2=0-ER_transcription_2=0	1.0	1.0	0.669	0.8345	1.0	0.0	0.0	0.0	0.125
Proliferation_2=0-ER_transcription=0	1.0	1.0	0.645	0.8225	0.0	0.0	0.0	0.0	0.0
Proliferation_2=0-Proliferation_3=0	1.0	1.0	0.388	0.694	1.0	0.0	0.0	0.0	0.125
Proliferation_2=0-Proliferation_4=0	1.0	1.0	0.399	0.6995	1.0	0.0	0.0	0.0	0.125
Proliferation_2=0-ER_transcription_2=1	1.0	1.0	0.027	0.5135	1.0	0.0	0.065	0.0	0.149375
Proliferation_2=0-ER_transcription=1	1.0	1.0	0.4	0.7	1.0	0.0	0.0	0.0	0.125
Proliferation_2=0-Proliferation_3=1	1.0	1.0	0.401	0.7005	1.0	0.0	1.0	0.0	0.5
Proliferation_2=0-Proliferation_4=1	1.0	1.0	0.443	0.7215	1.0	0.0	0.0	1.0	1.0
Proliferation=0-ER_transcription_2=0	1.0	1.0	0.67	0.835	0.0	0.0	0.0	0.0	0.0
Proliferation=0-ER_transcription=0	1.0	1.0	0.669	0.8345	0.0	0.0	0.0	0.0	0.0
Proliferation=0-Proliferation_3=0	1.0	1.0	0.401	0.7005	0.0	1.0	0.0	0.0	0.25
Proliferation=0-Proliferation_4=0	1.0	1.0	0.399	0.6995	0.0	1.0	0.0	0.0	0.25
Proliferation=0-Proliferation_2=0	1.0	1.0	0.414	0.707	0.0	0.0	0.0	0.0	0.0
Proliferation=0-ER_transcription_2=1	1.0	1.0	0.045	0.5225	0.0	1.0	0.055	0.0	0.26375
Proliferation=0-ER_transcription=1	1.0	1.0	0.401	0.7005	0.0	1.0	0.0	0.0	0.25
Proliferation=0-Proliferation_3=1	1.0	1.0	0.402	0.701	0.0	1.0	1.0	0.0	0.5
Proliferation=0-Proliferation_4=1	1.0	1.0	0.415	0.7075	0.0	1.0	0.0	1.0	1.0
Proliferation=0-Proliferation_2=1	1.0	1.0	0.384	0.692	0.0	1.0	0.0	0.0	0.25
cycD_CDK46_2=0-ER_transcription_2=0	1.0	1.0	0.657	0.8285	1.0	0.0	0.0	0.0	0.125
cycD_CDK46_2=0-ER_transcription=0	1.0	1.0	0.699	0.8495	0.0	0.0	0.0	0.0	0.0
cycD_CDK46_2=0-Proliferation_3=0	1.0	1.0	0.399	0.6995	1.0	0.0	0.0	0.0	0.125
cycD_CDK46_2=0-Proliferation_4=0	1.0	1.0	0.395	0.6975	1.0	0.0	0.0	0.0	0.125
cycD_CDK46_2=0-Proliferation_2=0	1.0	1.0	0.392	0.696	1.0	0.0	0.0	0.0	0.125
cycD_CDK46_2=0-Proliferation=0	1.0	1.0	0.415	0.7075	0.0	0.0	0.0	0.0	0.0
cycD_CDK46_2=0-ER_transcription_2=1	1.0	1.0	0.033	0.5165	1.0	0.0	0.0	0.0	0.125
cycD_CDK46_2=0-ER_transcription=1	1.0	1.0	0.395	0.6975	1.0	0.0	0.0	0.0	0.125
cycD_CDK46_2=0-Proliferation_3=1	1.0	1.0	0.4	0.7	1.0	0.0	1.0	0.0	0.5
cycD_CDK46_2=0-Proliferation_4=1	1.0	1.0	0.421	0.7105	1.0	0.0	0.0	1.0	1.0
cycD_CDK46_2=0-Proliferation_2=1	1.0	1.0	0.385	0.6925	1.0	1.0	0.0	0.0	0.25
