Perturbation	Apofrac1	Apofrac2	Apofrac3	Apofrac	Prolfrac1	Prolfrac2	Prolfrac3	Prolfrac4	Prolfrac
ER_transcription_2=0	1.0	1.0	0.646	0.823	1.0	0.0	0.0	0.0	0.125
ER_transcription=0	1.0	1.0	0.663	0.8315	0.0	0.0	0.0	0.0	0.0
Proliferation_3=0	1.0	1.0	0.416	0.708	1.0	1.0	0.0	0.0	0.25
Proliferation_4=0	1.0	1.0	0.396	0.698	1.0	1.0	0.0	0.0	0.25
Proliferation_2=0	1.0	1.0	0.391	0.6955	1.0	0.0	0.0	0.0	0.125
Proliferation=0	1.0	1.0	0.404	0.702	0.0	1.0	0.0	0.0	0.25
cycD_CDK46_2=0	1.0	1.0	0.411	0.7055	1.0	0.0	0.0	0.0	0.125
Apoptosis_3=0	1.0	1.0	0.0	0.5	1.0	1.0	0.0	0.0	0.25
Apoptosis_2=0	1.0	0.0	0.418	0.5635	1.0	1.0	0.0	0.0	0.25
Ipatasertib=0	1.0	1.0	0.421	0.7105	1.0	1.0	0.0	0.0	0.25
cycE_CDK2_T=0	1.0	1.0	0.375	0.6875	1.0	1.0	0.0	0.0	0.25
Palbociclib=0	1.0	1.0	0.426	0.713	1.0	1.0	0.0	0.0	0.25
Translation=0	1.0	1.0	0.49	0.745	1.0	1.0	0.002	0.0	0.2505
Fulvestrant=0	1.0	1.0	0.405	0.7025	1.0	1.0	0.0	0.0	0.25
cycD_CDK46=0	1.0	1.0	0.402	0.701	0.0	0.0	0.0	0.0	0.0
Trametinib=0	1.0	1.0	0.389	0.6945	1.0	1.0	0.0	0.0	0.25
Everolimus=0	1.0	1.0	0.402	0.701	1.0	1.0	0.0	0.0	0.25
Apoptosis=0	0.0	1.0	0.41	0.705	1.0	1.0	0.0	0.0	0.25
p21_p27_T=0	1.0	1.0	0.398	0.699	1.0	1.0	0.0	0.0	0.25
mTORC2_pm=0	1.0	1.0	0.405	0.7025	1.0	1.0	0.0	0.0	0.25
Neratinib=0	1.0	1.0	0.365	0.6825	1.0	1.0	0.0	0.0	0.25
Alpelisib=0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.5
cycE_CDK2=0	1.0	1.0	0.426	0.713	1.0	1.0	0.0	0.0	0.25
cyclinD_2=0	1.0	1.0	0.413	0.7065	1.0	0.0	0.0	0.0	0.125
HER2_3_2=0	1.0	1.0	0.399	0.6995	1.0	1.0	0.0	0.0	0.25
FOXO3_Ub=0	1.0	1.0	0.409	0.7045	1.0	1.0	0.0	0.0	0.25
IGF1R_T=0	1.0	1.0	0.389	0.6945	1.0	1.0	0.0	0.0	0.25
IGF1R_2=0	1.0	1.0	0.399	0.6995	1.0	1.0	0.0	0.0	0.25
p21_p27=0	1.0	1.0	0.41	0.705	1.0	1.0	1.0	0.0	0.5
cyclinD=0	1.0	1.0	0.426	0.713	0.0	0.0	0.0	0.0	0.0
PDK1_pm=0	1.0	1.0	0.384	0.692	1.0	1.0	0.0	0.0	0.25
HER3_T=0	1.0	1.0	0.398	0.699	1.0	1.0	0.0	0.0	0.25
PIP3_2=0	1.0	1.0	0.418	0.709	1.0	1.0	0.0	0.0	0.25
HER3_2=0	1.0	1.0	0.385	0.6925	1.0	1.0	0.0	0.0	0.25
SGK1_T=0	1.0	1.0	0.378	0.689	1.0	1.0	0.0	0.0	0.25
mTORC1=0	1.0	1.0	0.469	0.7345	1.0	1.0	0.0	0.0	0.25
mTORC2=0	1.0	1.0	0.391	0.6955	1.0	1.0	0.001	0.0	0.25025
ESR1_2=0	1.0	1.0	0.684	0.842	1.0	0.0	0.0	0.0	0.125
HER2_3=0	1.0	1.0	0.412	0.706	1.0	1.0	0.0	0.0	0.25
MAPK_2=0	1.0	1.0	0.401	0.7005	1.0	1.0	0.0	0.0	0.25
PRAS40=0	1.0	0.534	0.0	0.3835	1.0	1.0	1.0	0.0	0.5
BCL2_T=0	1.0	1.0	0.612	0.806	1.0	1.0	0.0	0.0	0.25
PI3K_2=0	1.0	1.0	0.394	0.697	1.0	1.0	0.0	0.0	0.25
BIM_T=0	1.0	1.0	0.384	0.692	1.0	1.0	0.001	0.0	0.25025
MYC_2=0	1.0	1.0	0.387	0.6935	1.0	0.0	0.0	0.0	0.125
CDK46=0	1.0	1.0	0.404	0.702	0.0	0.0	0.0	0.0	0.0
EIF4F=0	1.0	1.0	0.473	0.7365	1.0	1.0	0.0	0.0	0.25
FOXO3=0	1.0	0.308	0.0	0.327	1.0	0.0	0.0	0.0	0.125
KMT2D=0	1.0	1.0	0.662	0.831	1.0	0.0	0.0	0.0	0.125
E2F_3=0	1.0	1.0	0.391	0.6955	1.0	1.0	0.0	0.0	0.25
E2F_2=0	1.0	1.0	0.422	0.711	1.0	0.0	0.0	0.0	0.125
pRb_3=0	1.0	1.0	0.386	0.693	1.0	1.0	0.0	0.0	0.25
pRb_2=0	1.0	1.0	0.395	0.6975	1.0	0.0	0.0	0.0	0.125
RAS_3=0	1.0	1.0	0.393	0.6965	1.0	1.0	0.0	0.0	0.25
RAS_2=0	1.0	1.0	0.399	0.6995	1.0	1.0	0.001	0.0	0.25025
IGF1R=0	1.0	1.0	0.378	0.689	1.0	1.0	0.0	0.0	0.25
FOXA1=0	1.0	1.0	0.656	0.828	1.0	0.0	0.0	0.0	0.125
HER3=0	1.0	1.0	0.401	0.7005	1.0	1.0	0.0	0.0	0.25
HER2=0	1.0	1.0	0.412	0.706	1.0	1.0	0.0	0.0	0.25
BCL2=0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.25
PBX1=0	1.0	1.0	0.702	0.851	1.0	0.0	0.0	0.0	0.125
ESR1=0	1.0	1.0	0.667	0.8335	0.0	0.0	0.0	0.0	0.0
MCL1=0	1.0	1.0	0.498	0.749	1.0	1.0	0.0	0.0	0.25
SGK1=0	1.0	1.0	0.391	0.6955	1.0	1.0	0.0	0.0	0.25
PIP3=0	1.0	1.0	0.416	0.708	1.0	1.0	0.0	0.0	0.25
MAPK=0	1.0	1.0	0.391	0.6955	1.0	1.0	0.0	0.0	0.25
PDK1=0	1.0	1.0	0.4	0.7	1.0	1.0	0.0	0.0	0.25
PI3K=0	1.0	1.0	0.427	0.7135	1.0	1.0	0.0	0.0	0.25
PTEN=0	1.0	1.0	0.391	0.6955	1.0	1.0	0.0	0.0	0.25
PIM=0	1.0	1.0	0.399	0.6995	1.0	1.0	0.0	0.0	0.25
AKT=0	1.0	1.0	0.402	0.701	1.0	1.0	0.0	0.0	0.25
S6K=0	1.0	1.0	0.462	0.731	1.0	1.0	0.0	0.0	0.25
BIM=0	1.0	0.0	0.0	0.25	1.0	1.0	0.0	0.0	0.25
BAD=0	1.0	0.0	0.0	0.25	1.0	1.0	0.0	0.0	0.25
E2F=0	1.0	1.0	0.403	0.7015	0.0	0.0	0.0	0.0	0.0
pRb=0	1.0	1.0	0.413	0.7065	0.0	0.0	0.0	0.0	0.0
TSC=0	1.0	0.491	0.0	0.37275	1.0	1.0	1.0	0.0	0.5
MYC=0	1.0	1.0	0.426	0.713	0.0	0.0	0.0	0.0	0.0
RAS=0	1.0	1.0	0.39	0.695	1.0	1.0	0.0	0.0	0.25
ER=0	1.0	1.0	0.659	0.8295	0.0	0.0	0.0	0.0	0.0
