0
6
0062_p21_T	0097_MYC	0074_p27_T	0064_FOXO3	0063_MYC_2	0036_p21_T_2
0	0	0	0	0	0	0
1	0	0	0	0	0	1
0	1	0	0	0	0	0
1	1	0	0	0	0	0
0	0	1	0	0	0	1
1	0	1	0	0	0	1
0	1	1	0	0	0	0
1	1	1	0	0	0	0
0	0	0	1	0	0	0
1	0	0	1	0	0	1
0	1	0	1	0	0	0
1	1	0	1	0	0	1
0	0	1	1	0	0	1
1	0	1	1	0	0	1
0	1	1	1	0	0	1
1	1	1	1	0	0	1
0	0	0	0	1	0	0
1	0	0	0	1	0	0
0	1	0	0	1	0	0
1	1	0	0	1	0	0
0	0	1	0	1	0	0
1	0	1	0	1	0	0
0	1	1	0	1	0	0
1	1	1	0	1	0	0
0	0	0	1	1	0	0
1	0	0	1	1	0	0
0	1	0	1	1	0	0
1	1	0	1	1	0	0
0	0	1	1	1	0	0
1	0	1	1	1	0	0
0	1	1	1	1	0	0
1	1	1	1	1	0	0
0	0	0	0	0	1	1
1	0	0	0	0	1	1
0	1	0	0	0	1	0
1	1	0	0	0	1	0
0	0	1	0	0	1	1
1	0	1	0	0	1	1
0	1	1	0	0	1	0
1	1	1	0	0	1	0
0	0	0	1	0	1	1
1	0	0	1	0	1	1
0	1	0	1	0	1	1
1	1	0	1	0	1	1
0	0	1	1	0	1	1
1	0	1	1	0	1	1
0	1	1	1	0	1	1
1	1	1	1	0	1	1
0	0	0	0	1	1	0
1	0	0	0	1	1	0
0	1	0	0	1	1	0
1	1	0	0	1	1	0
0	0	1	0	1	1	0
1	0	1	0	1	1	0
0	1	1	0	1	1	0
1	1	1	0	1	1	0
0	0	0	1	1	1	0
1	0	0	1	1	1	0
0	1	0	1	1	1	0
1	1	0	1	1	1	0
0	0	1	1	1	1	0
1	0	1	1	1	1	0
0	1	1	1	1	1	0
1	1	1	1	1	1	0
