0
7
0002_HER3_microenvironment	0077_HER2	0051_MAPK_2	0026_Neratinib	0044_HER3_2	0050_HER2_3	0076_HER3
0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0
1	1	0	0	0	0	0	0
0	0	1	0	0	0	0	0
1	0	1	0	0	0	0	0
0	1	1	0	0	0	0	0
1	1	1	0	0	0	0	0
0	0	0	1	0	0	0	0
1	0	0	1	0	0	0	0
0	1	0	1	0	0	0	0
1	1	0	1	0	0	0	0
0	0	1	1	0	0	0	0
1	0	1	1	0	0	0	0
0	1	1	1	0	0	0	0
1	1	1	1	0	0	0	0
0	0	0	0	1	0	0	0
1	0	0	0	1	0	0	0
0	1	0	0	1	0	0	0
1	1	0	0	1	0	0	0
0	0	1	0	1	0	0	0
1	0	1	0	1	0	0	0
0	1	1	0	1	0	0	0
1	1	1	0	1	0	0	0
0	0	0	1	1	0	0	0
1	0	0	1	1	0	0	0
0	1	0	1	1	0	0	0
1	1	0	1	1	0	0	0
0	0	1	1	1	0	0	0
1	0	1	1	1	0	0	0
0	1	1	1	1	0	0	0
1	1	1	1	1	0	0	0
0	0	0	0	0	1	0	0
1	0	0	0	0	1	0	0
0	1	0	0	0	1	0	0
1	1	0	0	0	1	0	0
0	0	1	0	0	1	0	0
1	0	1	0	0	1	0	0
0	1	1	0	0	1	0	0
1	1	1	0	0	1	0	0
0	0	0	1	0	1	0	0
1	0	0	1	0	1	0	0
0	1	0	1	0	1	0	0
1	1	0	1	0	1	0	0
0	0	1	1	0	1	0	0
1	0	1	1	0	1	0	0
0	1	1	1	0	1	0	0
1	1	1	1	0	1	0	0
0	0	0	0	1	1	0	0
1	0	0	0	1	1	0	0
0	1	0	0	1	1	0	0
1	1	0	0	1	1	0	1
0	0	1	0	1	1	0	0
1	0	1	0	1	1	0	0
0	1	1	0	1	1	0	0
1	1	1	0	1	1	0	1
0	0	0	1	1	1	0	0
1	0	0	1	1	1	0	0
0	1	0	1	1	1	0	0
1	1	0	1	1	1	0	0
0	0	1	1	1	1	0	0
1	0	1	1	1	1	0	0
0	1	1	1	1	1	0	0
1	1	1	1	1	1	0	0
0	0	0	0	0	0	1	0
1	0	0	0	0	0	1	0
0	1	0	0	0	0	1	0
1	1	0	0	0	0	1	0
0	0	1	0	0	0	1	0
1	0	1	0	0	0	1	0
0	1	1	0	0	0	1	0
1	1	1	0	0	0	1	0
0	0	0	1	0	0	1	0
1	0	0	1	0	0	1	0
0	1	0	1	0	0	1	0
1	1	0	1	0	0	1	0
0	0	1	1	0	0	1	0
1	0	1	1	0	0	1	0
0	1	1	1	0	0	1	0
1	1	1	1	0	0	1	0
0	0	0	0	1	0	1	0
1	0	0	0	1	0	1	0
0	1	0	0	1	0	1	0
1	1	0	0	1	0	1	0
0	0	1	0	1	0	1	0
1	0	1	0	1	0	1	0
0	1	1	0	1	0	1	0
1	1	1	0	1	0	1	0
0	0	0	1	1	0	1	0
1	0	0	1	1	0	1	0
0	1	0	1	1	0	1	0
1	1	0	1	1	0	1	0
0	0	1	1	1	0	1	0
1	0	1	1	1	0	1	0
0	1	1	1	1	0	1	0
1	1	1	1	1	0	1	0
0	0	0	0	0	1	1	0
1	0	0	0	0	1	1	0
0	1	0	0	0	1	1	0
1	1	0	0	0	1	1	1
0	0	1	0	0	1	1	0
1	0	1	0	0	1	1	0
0	1	1	0	0	1	1	0
1	1	1	0	0	1	1	0
0	0	0	1	0	1	1	0
1	0	0	1	0	1	1	0
0	1	0	1	0	1	1	0
1	1	0	1	0	1	1	0
0	0	1	1	0	1	1	0
1	0	1	1	0	1	1	0
0	1	1	1	0	1	1	0
1	1	1	1	0	1	1	0
0	0	0	0	1	1	1	0
1	0	0	0	1	1	1	0
0	1	0	0	1	1	1	0
1	1	0	0	1	1	1	1
0	0	1	0	1	1	1	0
1	0	1	0	1	1	1	0
0	1	1	0	1	1	1	0
1	1	1	0	1	1	1	1
0	0	0	1	1	1	1	0
1	0	0	1	1	1	1	0
0	1	0	1	1	1	1	0
1	1	0	1	1	1	1	0
0	0	1	1	1	1	1	0
1	0	1	1	1	1	1	0
0	1	1	1	1	1	1	0
1	1	1	1	1	1	1	0
