0
6
0072_RAS_2	0032_HER2_3_2	0071_RAS_3	0039_IGF1R_2	0050_HER2_3	0073_IGF1R
0	0	0	0	0	0	0
1	0	0	0	0	0	1
0	1	0	0	0	0	1
1	1	0	0	0	0	1
0	0	1	0	0	0	1
1	0	1	0	0	0	1
0	1	1	0	0	0	1
1	1	1	0	0	0	1
0	0	0	1	0	0	1
1	0	0	1	0	0	1
0	1	0	1	0	0	1
1	1	0	1	0	0	1
0	0	1	1	0	0	1
1	0	1	1	0	0	1
0	1	1	1	0	0	1
1	1	1	1	0	0	1
0	0	0	0	1	0	1
1	0	0	0	1	0	1
0	1	0	0	1	0	1
1	1	0	0	1	0	1
0	0	1	0	1	0	1
1	0	1	0	1	0	1
0	1	1	0	1	0	1
1	1	1	0	1	0	1
0	0	0	1	1	0	1
1	0	0	1	1	0	1
0	1	0	1	1	0	1
1	1	0	1	1	0	1
0	0	1	1	1	0	1
1	0	1	1	1	0	1
0	1	1	1	1	0	1
1	1	1	1	1	0	1
0	0	0	0	0	1	1
1	0	0	0	0	1	1
0	1	0	0	0	1	1
1	1	0	0	0	1	1
0	0	1	0	0	1	1
1	0	1	0	0	1	1
0	1	1	0	0	1	1
1	1	1	0	0	1	1
0	0	0	1	0	1	1
1	0	0	1	0	1	1
0	1	0	1	0	1	1
1	1	0	1	0	1	1
0	0	1	1	0	1	1
1	0	1	1	0	1	1
0	1	1	1	0	1	1
1	1	1	1	0	1	1
0	0	0	0	1	1	1
1	0	0	0	1	1	1
0	1	0	0	1	1	1
1	1	0	0	1	1	1
0	0	1	0	1	1	1
1	0	1	0	1	1	1
0	1	1	0	1	1	1
1	1	1	0	1	1	1
0	0	0	1	1	1	1
1	0	0	1	1	1	1
0	1	0	1	1	1	1
1	1	0	1	1	1	1
0	0	1	1	1	1	1
1	0	1	1	1	1	1
0	1	1	1	1	1	1
1	1	1	1	1	1	1
