0
6
0043_PIP3_2	0072_RAS_2	0079_PIP3	0071_RAS_3	0080_MAPK	0023_Trametinib
0	0	0	0	0	0	0
1	0	0	0	0	0	0
0	1	0	0	0	0	0
1	1	0	0	0	0	0
0	0	1	0	0	0	0
1	0	1	0	0	0	0
0	1	1	0	0	0	0
1	1	1	0	0	0	0
0	0	0	1	0	0	0
1	0	0	1	0	0	0
0	1	0	1	0	0	0
1	1	0	1	0	0	0
0	0	1	1	0	0	0
1	0	1	1	0	0	0
0	1	1	1	0	0	0
1	1	1	1	0	0	0
0	0	0	0	1	0	0
1	0	0	0	1	0	0
0	1	0	0	1	0	0
1	1	0	0	1	0	1
0	0	1	0	1	0	0
1	0	1	0	1	0	0
0	1	1	0	1	0	1
1	1	1	0	1	0	1
0	0	0	1	1	0	0
1	0	0	1	1	0	1
0	1	0	1	1	0	0
1	1	0	1	1	0	1
0	0	1	1	1	0	1
1	0	1	1	1	0	1
0	1	1	1	1	0	1
1	1	1	1	1	0	1
0	0	0	0	0	1	0
1	0	0	0	0	1	0
0	1	0	0	0	1	0
1	1	0	0	0	1	0
0	0	1	0	0	1	0
1	0	1	0	0	1	0
0	1	1	0	0	1	0
1	1	1	0	0	1	0
0	0	0	1	0	1	0
1	0	0	1	0	1	0
0	1	0	1	0	1	0
1	1	0	1	0	1	0
0	0	1	1	0	1	0
1	0	1	1	0	1	0
0	1	1	1	0	1	0
1	1	1	1	0	1	0
0	0	0	0	1	1	0
1	0	0	0	1	1	0
0	1	0	0	1	1	0
1	1	0	0	1	1	0
0	0	1	0	1	1	0
1	0	1	0	1	1	0
0	1	1	0	1	1	0
1	1	1	0	1	1	0
0	0	0	1	1	1	0
1	0	0	1	1	1	1
0	1	0	1	1	1	0
1	1	0	1	1	1	1
0	0	1	1	1	1	1
1	0	1	1	1	1	1
0	1	1	1	1	1	1
1	1	1	1	1	1	1
