0
7
0043_PIP3_2	0098_RAS	0072_RAS_2	0079_PIP3	0071_RAS_3	0051_MAPK_2	0023_Trametinib
0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0
1	1	0	0	0	0	0	1
0	0	1	0	0	0	0	0
1	0	1	0	0	0	0	1
0	1	1	0	0	0	0	0
1	1	1	0	0	0	0	1
0	0	0	1	0	0	0	0
1	0	0	1	0	0	0	0
0	1	0	1	0	0	0	1
1	1	0	1	0	0	0	1
0	0	1	1	0	0	0	1
1	0	1	1	0	0	0	1
0	1	1	1	0	0	0	1
1	1	1	1	0	0	0	1
0	0	0	0	1	0	0	0
1	0	0	0	1	0	0	1
0	1	0	0	1	0	0	0
1	1	0	0	1	0	0	1
0	0	1	0	1	0	0	0
1	0	1	0	1	0	0	1
0	1	1	0	1	0	0	0
1	1	1	0	1	0	0	1
0	0	0	1	1	0	0	1
1	0	0	1	1	0	0	1
0	1	0	1	1	0	0	1
1	1	0	1	1	0	0	1
0	0	1	1	1	0	0	1
1	0	1	1	1	0	0	1
0	1	1	1	1	0	0	1
1	1	1	1	1	0	0	1
0	0	0	0	0	1	0	1
1	0	0	0	0	1	0	1
0	1	0	0	0	1	0	1
1	1	0	0	0	1	0	1
0	0	1	0	0	1	0	1
1	0	1	0	0	1	0	1
0	1	1	0	0	1	0	1
1	1	1	0	0	1	0	1
0	0	0	1	0	1	0	1
1	0	0	1	0	1	0	1
0	1	0	1	0	1	0	1
1	1	0	1	0	1	0	1
0	0	1	1	0	1	0	1
1	0	1	1	0	1	0	1
0	1	1	1	0	1	0	1
1	1	1	1	0	1	0	1
0	0	0	0	1	1	0	1
1	0	0	0	1	1	0	1
0	1	0	0	1	1	0	1
1	1	0	0	1	1	0	1
0	0	1	0	1	1	0	1
1	0	1	0	1	1	0	1
0	1	1	0	1	1	0	1
1	1	1	0	1	1	0	1
0	0	0	1	1	1	0	1
1	0	0	1	1	1	0	1
0	1	0	1	1	1	0	1
1	1	0	1	1	1	0	1
0	0	1	1	1	1	0	1
1	0	1	1	1	1	0	1
0	1	1	1	1	1	0	1
1	1	1	1	1	1	0	1
0	0	0	0	0	0	1	0
1	0	0	0	0	0	1	0
0	1	0	0	0	0	1	0
1	1	0	0	0	0	1	0
0	0	1	0	0	0	1	0
1	0	1	0	0	0	1	0
0	1	1	0	0	0	1	0
1	1	1	0	0	0	1	0
0	0	0	1	0	0	1	0
1	0	0	1	0	0	1	0
0	1	0	1	0	0	1	0
1	1	0	1	0	0	1	0
0	0	1	1	0	0	1	0
1	0	1	1	0	0	1	0
0	1	1	1	0	0	1	0
1	1	1	1	0	0	1	0
0	0	0	0	1	0	1	0
1	0	0	0	1	0	1	1
0	1	0	0	1	0	1	0
1	1	0	0	1	0	1	1
0	0	1	0	1	0	1	0
1	0	1	0	1	0	1	1
0	1	1	0	1	0	1	0
1	1	1	0	1	0	1	1
0	0	0	1	1	0	1	1
1	0	0	1	1	0	1	1
0	1	0	1	1	0	1	1
1	1	0	1	1	0	1	1
0	0	1	1	1	0	1	1
1	0	1	1	1	0	1	1
0	1	1	1	1	0	1	1
1	1	1	1	1	0	1	1
0	0	0	0	0	1	1	1
1	0	0	0	0	1	1	1
0	1	0	0	0	1	1	1
1	1	0	0	0	1	1	1
0	0	1	0	0	1	1	1
1	0	1	0	0	1	1	1
0	1	1	0	0	1	1	1
1	1	1	0	0	1	1	1
0	0	0	1	0	1	1	1
1	0	0	1	0	1	1	1
0	1	0	1	0	1	1	1
1	1	0	1	0	1	1	1
0	0	1	1	0	1	1	1
1	0	1	1	0	1	1	1
0	1	1	1	0	1	1	1
1	1	1	1	0	1	1	1
0	0	0	0	1	1	1	1
1	0	0	0	1	1	1	1
0	1	0	0	1	1	1	1
1	1	0	0	1	1	1	1
0	0	1	0	1	1	1	1
1	0	1	0	1	1	1	1
0	1	1	0	1	1	1	1
1	1	1	0	1	1	1	1
0	0	0	1	1	1	1	1
1	0	0	1	1	1	1	1
0	1	0	1	1	1	1	1
1	1	0	1	1	1	1	1
0	0	1	1	1	1	1	1
1	0	1	1	1	1	1	1
0	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1
